"sss","cc","aa"
"11","Martinez, Riggs and Rivas","Therapist, art"
"6","Hansen Ltd","Travel agency manager"
"6","Marks, Estrada and Hanson","Occupational psychologist"
"7","Wilson, Downs and Taylor","Community development worker"
"10","Pearson and Sons","Legal secretary"
"11","Lopez PLC","Architect"
"11","Mcgee, Johnson and Jensen","Editorial assistant"
"11","Berger-Powers","Nurse, learning disability"
"9","Esparza, Campbell and Burns","Research scientist (life sciences)"
"1","Andrews LLC","Higher education careers adviser"
"5","Edwards-Conrad","Fashion designer"
"8","Russell Group","Acupuncturist"
"3","Mathews-Martin","Health visitor"
"8","Gates-Ball","Restaurant manager, fast food"
